stepCount,timeStamp,objectId,posX,posY,posZ,oriX,oriY,oriZ,oriW,velX,velY,velZ,omegaX,omegaY,omegaZ,qNum,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,u0,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11
0,0.0,1,-3.909926090273075e-05,-1.533303930045804e-06,0.49822574853897095,1.2757472177327145e-05,-0.0006476450362242758,-6.5129343056469224e-06,0.9999997615814209,-0.003909925930202007,-0.00015333040209952742,-0.17742465436458588,0.0025514946319162846,-0.12952901422977448,-0.001302586984820664,12,0.0008994498639367521,0.03010672703385353,-0.0786743015050888,-0.0008995226235128939,0.030106719583272934,-0.07867372781038284,0.0008996378746815026,0.03010675683617592,-0.07867488265037537,-0.0008995012030936778,0.030106879770755768,-0.07867049425840378,0.089944988489151,3.0106728076934814,-7.867430210113525,-0.0899522602558136,3.010672092437744,-7.867372989654541,0.08996378630399704,3.0106756687164307,-7.867488384246826,-0.08995012193918228,3.010688066482544,-7.867049217224121
1,0.009999999776482582,1,-8.217124559450895e-05,-2.9921923214715207e-06,0.4955088794231415,2.6190664357272908e-05,-0.001282251556403935,-1.2275569133635145e-05,0.9999991655349731,-0.004307198338210583,-0.00014588882913812995,-0.27168819308280945,0.002686559222638607,-0.1269213855266571,-0.0011524067958816886,12,0.0017089846078306437,0.0572027750313282,-0.14947891235351562,-0.0017090929904952645,0.057202767580747604,-0.14947926998138428,0.001709227217361331,0.057203128933906555,-0.1494806706905365,-0.0017090830951929092,0.057202987372875214,-0.1494782418012619,0.08095347136259079,2.7096047401428223,-7.080461025238037,-0.08095703274011612,2.7096047401428223,-7.080554485321045,0.08095893263816833,2.709637403488159,-7.080577850341797,-0.08095818758010864,2.7096107006073,-7.080775260925293
2,0.019999999552965164,1,-0.00012638259795494378,-4.357473699201364e-06,0.4918549060821533,3.988581374869682e-05,-0.0018962809117510915,-1.7340653357678093e-05,0.9999982118606567,-0.004421135410666466,-0.000136528120492585,-0.36539772152900696,0.0027388243470340967,-0.12280602753162384,-0.0010127227287739515,12,0.002437574090436101,0.0815892219543457,-0.2132030427455902,-0.0024377063382416964,0.0815892145037651,-0.21320436894893646,0.002437903778627515,0.0815899670124054,-0.21320600807666779,-0.0024376839864999056,0.08158949762582779,-0.21320584416389465,0.07285894453525543,2.4386444091796875,-6.372413158416748,-0.07286132872104645,2.4386446475982666,-6.372509002685547,0.07286765426397324,2.4386839866638184,-6.372534275054932,-0.07286009192466736,2.438650608062744,-6.372759819030762
3,0.029999999329447746,1,-0.0001698606793070212,-5.620343472401146e-06,0.48726704716682434,5.3541876695817336e-05,-0.002484311582520604,-2.178939030272886e-05,0.9999969005584717,-0.004347808193415403,-0.00012628700642380863,-0.4587837755680084,0.0027308661956340075,-0.11760643869638443,-0.0008892620680853724,12,0.0030933269299566746,0.10353701561689377,-0.27055463194847107,-0.0030934582464396954,0.10353701561689377,-0.27055639028549194,0.0030936955008655787,0.10353796929121017,-0.27055802941322327,-0.0030934216920286417,0.10353730618953705,-0.2705593407154083,0.06557527929544449,2.194779872894287,-5.7351579666137695,-0.06557519733905792,2.194780111312866,-5.735201358795166,0.06557916104793549,2.1948001384735107,-5.735202789306641,-0.06557376682758331,2.194781541824341,-5.735349178314209
4,0.03999999910593033,1,-0.00021144282072782516,-6.780710009479662e-06,0.4817468822002411,6.692702299915254e-05,-0.003042658558115363,-2.5708548491820693e-05,0.9999953508377075,-0.004158214665949345,-0.00011603665188886225,-0.5520161986351013,0.002676550764590502,-0.11166981607675552,-0.0007831644616089761,12,0.003683538641780615,0.1232900395989418,-0.3221709728240967,-0.0036836350336670876,0.1232900470495224,-0.3221733570098877,0.0036840145476162434,0.12329129874706268,-0.32217490673065186,-0.0036835195496678352,0.12329034507274628,-0.3221781849861145,0.05902117118239403,1.9753022193908691,-5.1616339683532715,-0.05901768058538437,1.9753034114837646,-5.161698341369629,0.05903191864490509,1.9753328561782837,-5.161686420440674,-0.05900978296995163,1.9753034114837646,-5.16188383102417
5,0.05000000074505806,1,-0.0002504372096154839,-7.838159035600256e-06,0.4752947688102722,7.988406287040561e-05,-0.0035690474323928356,-2.9159489713492803e-05,0.999993622303009,-0.0038994376081973314,-0.00010574493353487924,-0.6452118754386902,0.002590813208371401,-0.1052783653140068,-0.0006893550744280219,12,0.004214735236018896,0.1410677582025528,-0.36862561106681824,-0.004214794375002384,0.141067773103714,-0.36862829327583313,0.004215263295918703,0.14106915891170502,-0.368629515171051,-0.004214620683342218,0.14106804132461548,-0.36863407492637634,0.053119681775569916,1.7777717113494873,-4.645464897155762,-0.05311591178178787,1.7777726650238037,-4.645493030548096,0.05312487110495567,1.7777857780456543,-4.645462512969971,-0.053110092878341675,1.7777702808380127,-4.645589828491211
6,0.05999999865889549,1,-0.0002864959242288023,-8.800755495030899e-06,0.4679102599620819,9.226701513398439e-05,-0.0040623280219733715,-3.2204410672420636e-05,0.9999917149543762,-0.003605873789638281,-9.625964594306424e-05,-0.7384516596794128,0.002475902670994401,-0.09865687787532806,-0.0006080333259887993,12,0.004692942835390568,0.1570677012205124,-0.4104345142841339,-0.004692837595939636,0.15706777572631836,-0.4104379117488861,0.004693695809692144,0.15706941485404968,-0.4104383885860443,-0.004692393355071545,0.1570679396390915,-0.4104451537132263,0.04782074689865112,1.5999950170516968,-4.180890083312988,-0.047804318368434906,1.5999996662139893,-4.180961608886719,0.04784323275089264,1.6000264883041382,-4.1808857917785645,-0.04777727648615837,1.5999889373779297,-4.181107521057129
7,0.07000000029802322,1,-0.00031948628020472825,-9.66961306403391e-06,0.45959240198135376,0.00010403365740785375,-0.0045222146436572075,-3.489272785373032e-05,0.9999897480010986,-0.0032990335021167994,-8.688574598636478e-05,-0.8317853808403015,0.002352566923946142,-0.09197819232940674,-0.0005365979741327465,12,0.005123313050717115,0.17146766185760498,-0.448062539100647,-0.005123076029121876,0.17146776616573334,-0.4480662941932678,0.005124198738485575,0.17146950960159302,-0.44806593656539917,-0.005122434347867966,0.1714678257703781,-0.4480741620063782,0.04303701967000961,1.4399950504302979,-3.7628016471862793,-0.043023888021707535,1.4399988651275635,-3.76283860206604,0.04305030405521393,1.4400092363357544,-3.7627551555633545,-0.043004099279642105,1.4399884939193726,-3.7629024982452393
8,0.07999999821186066,1,-0.00034942387719638646,-1.0461604688316584e-05,0.4503399729728699,0.00011502293637022376,-0.004949118942022324,-3.725540955201723e-05,0.9999877214431763,-0.002993760397657752,-7.91991624282673e-05,-0.9252439737319946,0.0021970337256789207,-0.085381880402565,-0.0004714893002528697,12,0.00551114184781909,0.18442761898040771,-0.48192688822746277,-0.005510291084647179,0.1844279170036316,-0.48193198442459106,0.005512707866728306,0.18442997336387634,-0.4819294810295105,-0.005508702713996172,0.18442752957344055,-0.48194095492362976,0.038782861083745956,1.2959966659545898,-3.3864355087280273,-0.03872149810194969,1.2960147857666016,-3.386568546295166,0.03885094076395035,1.2960457801818848,-3.386355400085449,-0.03862682357430458,1.2959704399108887,-3.38667893409729
9,0.09000000357627869,1,-0.0003764223656617105,-1.1171266123710666e-05,0.44015154242515564,0.00012534941197372973,-0.005343904718756676,-3.934896449209191e-05,0.9999856948852539,-0.002699849894270301,-7.096610352164134e-05,-1.018841028213501,0.002064445521682501,-0.07895819842815399,-0.00041758143925108016,12,0.0058601112104952335,0.19609157741069794,-0.5124049186706543,-0.005858784541487694,0.19609202444553375,-0.5124108791351318,0.0058621433563530445,0.19609420001506805,-0.5124063491821289,-0.005856482777744532,0.19609126448631287,-0.5124201774597168,0.034896932542324066,1.1663960218429565,-3.047802448272705,-0.03484934940934181,1.16641104221344,-3.0478878021240234,0.03494354337453842,1.1664221286773682,-3.047685384750366,-0.034778010100126266,1.1663739681243896,-3.047919750213623
10,0.10000000149011612,1,-0.00040064845234155655,-1.1805987014668062e-05,0.4290257692337036,0.0001349991071037948,-0.00570781622081995,-4.12058798247017e-05,0.9999837279319763,-0.0024226077366620302,-6.347207818180323e-05,-1.1125798225402832,0.0019290850032120943,-0.0727834403514862,-0.0003702030226122588,12,0.006174113135784864,0.20658914744853973,-0.5398352742195129,-0.006172428838908672,0.2065896987915039,-0.5398417115211487,0.006176447961479425,0.20659184455871582,-0.5398353934288025,-0.006169605068862438,0.20658864080905914,-0.5398507714271545,0.031400203704833984,1.0497558116912842,-2.743035078048706,-0.03136441484093666,1.0497678518295288,-2.7430858612060547,0.03143046796321869,1.0497654676437378,-2.7429075241088867,-0.0313122496008873,1.0497379302978516,-2.7430617809295654
11,0.10999999940395355,1,-0.00042229736573062837,-1.2372949640848674e-05,0.4169612228870392,0.00014397445193026215,-0.006042340770363808,-4.285480463295244e-05,0.9999817609786987,-0.0021648912224918604,-5.6696262618061155e-05,-1.2064546346664429,0.0017942186677828431,-0.06690610200166702,-0.00032858262420631945,12,0.006456651724874973,0.21603694558143616,-0.5645226836204529,-0.006454708520323038,0.2160375863313675,-0.5645294189453125,0.006459165830165148,0.21603962779045105,-0.5645216107368469,-0.006451519206166267,0.21603630483150482,-0.5645378828048706,0.028253862634301186,0.9447798728942871,-2.4687442779541016,-0.028227971866726875,0.9447891712188721,-2.468770742416382,0.028271766379475594,0.9447783827781677,-2.4686200618743896,-0.028191428631544113,0.9447659254074097,-2.468712091445923
12,0.11999999731779099,1,-0.0004415759176481515,-1.2878895176982041e-05,0.40395668148994446,0.00015228935808409005,-0.006349117495119572,-4.4320549932308495e-05,0.9999798536300659,-0.0019278544932603836,-5.0594568165251985e-05,-1.3004539012908936,0.0016621453687548637,-0.06135651841759682,-0.0002919448306784034,12,0.006710880436003208,0.22453995048999786,-0.5867415070533752,-0.006708760280162096,0.22454068064689636,-0.5867483019828796,0.006713481154292822,0.2245425581932068,-0.5867393016815186,-0.006705331616103649,0.22453922033309937,-0.5867560505867004,0.025422900915145874,0.8503016233444214,-2.221881866455078,-0.025405175983905792,0.8503085970878601,-2.221890449523926,0.025431543588638306,0.8502930402755737,-2.221768379211426,-0.025381216779351234,0.8502911925315857,-2.2218127250671387
13,0.12999999523162842,1,-0.000458691269159317,-1.333005911874352e-05,0.3900110423564911,0.00015996604633983225,-0.006629866547882557,-4.562463436741382e-05,0.9999780058860779,-0.0017115350347012281,-4.511639053816907e-05,-1.3945622444152832,0.0015345298452302814,-0.05615103244781494,-0.00025963058578781784,12,0.006939637940376997,0.23219266533851624,-0.6067385673522949,-0.006937406957149506,0.23219344019889832,-0.6067453622817993,0.006942256819456816,0.23219513893127441,-0.606735348701477,-0.006933839060366154,0.23219186067581177,-0.6067521572113037,0.022875748574733734,0.7652713060379028,-1.999704360961914,-0.022864658385515213,0.765276312828064,-1.9997003078460693,0.022877532988786697,0.7652583122253418,-1.999605417251587,-0.02285073511302471,0.7652638554573059,-1.999613642692566
14,0.14000000059604645,1,-0.0004738439165521413,-1.3732148545386735e-05,0.37512344121932983,0.00016703258734196424,-0.006886336486786604,-4.6785800805082545e-05,0.9999762773513794,-0.0015152647392824292,-4.0208913560491055e-05,-1.4887614250183105,0.0014125315938144922,-0.05129525437951088,-0.0002310796407982707,12,0.0071454779244959354,0.23908011615276337,-0.6247360110282898,-0.007143188733607531,0.23908092081546783,-0.6247426271438599,0.007148064207285643,0.2390824258327484,-0.6247319579124451,-0.007139560766518116,0.23907925188541412,-0.6247485876083374,0.02058396115899086,0.6887441277503967,-1.7997432947158813,-0.02057819254696369,0.6887473464012146,-1.7997301816940308,0.020580748096108437,0.6887285709381104,-1.7996604442596436,-0.020572179928421974,0.6887392401695251,-1.7996416091918945
15,0.15000000596046448,1,-0.00048722344217821956,-1.4090345757722389e-05,0.359293133020401,0.00017352083523292094,-0.007120264694094658,-4.7820420149946585e-05,0.9999746084213257,-0.001337953843176365,-3.581974669941701e-05,-1.5830312967300415,0.0012969099916517735,-0.046786773949861526,-0.00020581326680257916,12,0.007330697029829025,0.24527880549430847,-0.6409337520599365,-0.007328392472118139,0.24527962505817413,-0.6409401893615723,0.007333215791732073,0.24528096616268158,-0.6409290432929993,-0.007324765902012587,0.24527791142463684,-0.640945315361023,0.018521929159760475,0.6198697090148926,-1.6197770833969116,-0.018520373851060867,0.6198714971542358,-1.6197575330734253,0.018515147268772125,0.6198529601097107,-1.6197102069854736,-0.018520526587963104,0.6198669075965881,-1.6196714639663696
16,0.1599999964237213,1,-0.0004990063025616109,-1.4409331924980506e-05,0.342519611120224,0.0001794648851500824,-0.007333345711231232,-4.874282603850588e-05,0.9999731183052063,-0.0011782845249399543,-3.189858398400247e-05,-1.6773513555526733,0.0011881104437634349,-0.042617302387952805,-0.00018342083785682917,12,0.0074973632581532,0.2508576512336731,-0.6555118560791016,-0.0074950759299099445,0.25085845589637756,-0.6555180549621582,0.007499788887798786,0.2508596181869507,-0.6555066108703613,-0.007491498254239559,0.2508567273616791,-0.6555222868919373,0.016666606068611145,0.5578827857971191,-1.4578063488006592,-0.01666833646595478,0.5578833222389221,-1.4577823877334595,0.016657348722219467,0.5578656792640686,-1.4577544927597046,-0.016673224046826363,0.5578816533088684,-1.457701563835144
17,0.17000000178813934,1,-0.0005093546933494508,-1.4693313460156787e-05,0.32480260729789734,0.00018489987996872514,-0.007527212146669626,-4.956558404956013e-05,0.9999716281890869,-0.0010348422219976783,-2.8398160793585703e-05,-1.7717002630233765,0.0010863370262086391,-0.03877438232302666,-0.00016354866966139525,12,0.007647335529327393,0.25587859749794006,-0.6686321496963501,-0.007645091041922569,0.25587940216064453,-0.6686381101608276,0.007649652659893036,0.2558803856372833,-0.6686265468597412,-0.007641597650945187,0.25587767362594604,-0.6686416268348694,0.014997249469161034,0.502094566822052,-1.312031626701355,-0.015001501888036728,0.5020941495895386,-1.312004804611206,0.014986352995038033,0.5020776987075806,-1.3119933605194092,-0.01500996295362711,0.5020947456359863,-1.311930537223816
18,0.18000000715255737,1,-0.0005184166948311031,-1.4946061128284782e-05,0.30614203214645386,0.0001898610353237018,-0.007703420240432024,-5.0299757276661694e-05,0.9999703168869019,-0.0009061999153345823,-2.5274779545725323e-05,-1.866057276725769,0.0009916109265759587,-0.03524273261427879,-0.0001458912593079731,12,0.007782287430018187,0.26039743423461914,-0.6804404854774475,-0.007780104409903288,0.2603982388973236,-0.6804461479187012,0.007784485351294279,0.26039907336235046,-0.6804345846176147,-0.007776722311973572,0.2603965401649475,-0.6804490089416504,0.013495201244950294,0.4518851637840271,-1.1808334589004517,-0.013501351699233055,0.4518839418888092,-1.180804967880249,0.013483296148478985,0.4518689215183258,-1.18080735206604,-0.01351244654506445,0.4518864154815674,-1.1807379722595215
19,0.1899999976158142,1,-0.0005263264174573123,-1.5170945516729262e-05,0.2865380048751831,0.00019438301387708634,-0.007863441482186317,-5.095508822705597e-05,0.9999690651893616,-0.0007909723208285868,-2.2488484319183044e-05,-1.9604015350341797,0.000903816893696785,-0.03200529143214226,-0.00013018383469898254,12,0.00790372397750616,0.264464408159256,-0.6910680532455444,-0.007901616394519806,0.26446518301963806,-0.6910733580589294,0.00790579803287983,0.26446589827537537,-0.6910619735717773,-0.007898364216089249,0.26446354389190674,-0.6910756230354309,0.012143676169216633,0.40669670701026917,-1.0627543926239014,-0.012151217088103294,0.40669485926628113,-1.0627249479293823,0.012131239287555218,0.4066813588142395,-1.0627386569976807,-0.012164190411567688,0.4066987633705139,-1.0626654624938965
20,0.20000000298023224,1,-0.0008346294634975493,-5.6121375564544e-06,0.2854683995246887,0.00017691268294584006,-0.007162074092775583,-5.1761569920927286e-05,0.9999743103981018,-0.030830299481749535,0.0009558807942084968,-0.10696135461330414,-0.003485748777166009,0.14027775824069977,-0.00016144644177984446,12,0.007948349229991436,0.2681470811367035,-0.7006336450576782,-0.007936828769743443,0.2681398391723633,-0.7006298303604126,0.007948357611894608,0.2681286334991455,-0.7006581425666809,-0.007935183122754097,0.26812130212783813,-0.7006675601005554,0.004462481942027807,0.36826667189598083,-0.9565625190734863,-0.0035212156362831593,0.3674660921096802,-0.95564204454422,0.004255958832800388,0.3662729263305664,-0.9596138000488281,-0.0036818701773881912,0.3657779097557068,-0.9591910243034363
21,0.20999999344348907,1,-0.003733322722837329,-0.0016532730078324676,0.2888343334197998,0.002982270671054721,-0.004745665472000837,-0.00014731648843735456,0.9999842643737793,-0.2898693382740021,-0.1647660881280899,0.3365927040576935,0.5612199902534485,0.483258992433548,-0.015006489120423794,12,0.008050719276070595,0.23295831680297852,-0.680833101272583,-0.008039512671530247,0.28862640261650085,-0.7015692591667175,0.008049794472754002,0.28861644864082336,-0.701594889163971,-0.008038351312279701,0.23293530941009521,-0.6808637976646423,0.010237039066851139,-3.5188753604888916,1.980055332183838,-0.010268383659422398,2.0486552715301514,-0.09394530206918716,0.010143695399165154,2.048781156539917,-0.09367775917053223,-0.010316803120076656,-3.5186007022857666,1.980377435684204
