Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
MainBody,0.0548070028454429,-0.000360234225217554,0.039582134703277,0,0,0,9.13070284945046,0.0538805916941477,-0.000430907142034246,-0.00346466515215267,0.199179331205701,0.000132154403635104,0.242402062963846,0,0,0,0,0,0,package://FullAssemblyCollisions/meshes/MainBody.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://FullAssemblyCollisions/meshes/MainBody.STL,,MainBodyCollision-1,OriginCoor,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FL_HipLink,-0.0495780689695432,-0.0168646109812234,-3.14997337524936E-06,0,0,0,0.184246862844944,8.5666630921348E-05,-2.71433694305197E-06,3.07107849372899E-09,0.000132334131938758,-3.26143525136387E-10,0.000102345114819944,0,0,0,0,0,0,package://FullAssemblyCollisions/meshes/FL_HipLink.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://FullAssemblyCollisions/meshes/FL_HipLink.STL,,HipJointCollision-2,FL_HipCoor,Left_HipAxis,FL_HipJoint,revolute,0.2808,0.1,0.037,0,0,0,MainBody,1,0,0,0,0,-0.175,1.571,,,,,,,,
FL_FemurLink,-0.0292994658484786,0.0576930805258912,-0.0271697654017704,0,0,0,0.493837207405452,0.00120611588222183,0.000236549205364421,-0.000868352985021879,0.00199589674409198,0.000216551652666458,0.00126368445819122,0,0,0,0,0,0,package://FullAssemblyCollisions/meshes/FL_FemurLink.STL,0.76078431372549,0.4,0.180392156862745,0.3,0,0,0,0,0,0,package://FullAssemblyCollisions/meshes/FL_FemurLink.STL,,FemurJointCollision-2,FL_FemurCoor,Front_FemurAxis,FL_FemurJoint,revolute,-0.054,-0.009,0,0,0,0,FL_HipLink,0,1,0,0,0,-0.785,0.785,,,,,,,,
FL_TibiaLink,0.0348034273391615,3.46944695195361E-17,-0.101297406567852,0,0,0,0.27925717852908,0.00109125951304497,1.2644462449977E-19,0.00041247807973686,0.00127521789331124,-4.12105426442255E-19,0.000233119279403158,0,0,0,0,0,0,package://FullAssemblyCollisions/meshes/FL_TibiaLink.STL,0.76078431372549,0.4,0.180392156862745,0.3,0,0,0,0,0,0,package://FullAssemblyCollisions/meshes/FL_TibiaLink.STL,,TibiaJointCollision-2,FL_TibiaCoor,Front_TibiaAxis,FL_TibiaJoint,revolute,-0.1283,0.0745,-0.1404,0,0,0,FL_FemurLink,0,1,0,0,0,-1.571,0,,,,,,,,
FL_FootLink,0.00808442270239479,-7.17880199729848E-10,0.0114064405962385,0,0,0,0.0456321719316135,9.09013287822567E-06,-5.14601586641631E-11,1.51548236610828E-07,9.3243545562533E-06,1.79287300459604E-12,1.41628502683047E-05,0,0,0,0,0,0,package://FullAssemblyCollisions/meshes/FL_FootLink.STL,1,1,1,1,0,0,0,0,0,0,package://FullAssemblyCollisions/meshes/FL_FootLink.STL,,FootJointCollision-6,FL_FootCoor,Front_FootAxis,FL_FootJoint,fixed,0.063753,0,-0.2336,0,0,0,FL_TibiaLink,0,0,0,,,,,,,,,,,,
FR_HipLink,-0.0495780689695431,0.0168646109812234,-3.14997337519385E-06,0,0,0,0.184246862844944,8.56666309213479E-05,2.71433694305194E-06,3.07107849368164E-09,0.000132334131938758,3.26143525135964E-10,0.000102345114819944,0,0,0,0,0,0,package://FullAssemblyCollisions/meshes/FR_HipLink.STL,0.76078431372549,0.4,0.180392156862745,0.3,0,0,0,0,0,0,package://FullAssemblyCollisions/meshes/FR_HipLink.STL,,Right_HipJointCollision-5,FR_HipCoor,Right_HipAxis,FR_HipJoint,revolute,0.2808,-0.1,0.037,0,0,0,MainBody,1,0,0,0,0,-1.571,0.175,,,,,,,,
FR_FemurLink,-0.0292994658484786,-0.057693080525891,-0.0271697654017704,0,0,0,0.493837207405452,0.00120611588222183,-0.000236549205364421,-0.000868352985021878,0.00199589674409198,-0.000216551652666458,0.00126368445819122,0,0,0,0,0,0,package://FullAssemblyCollisions/meshes/FR_FemurLink.STL,0.76078431372549,0.4,0.180392156862745,0.3,0,0,0,0,0,0,package://FullAssemblyCollisions/meshes/FR_FemurLink.STL,,Right_FemurJointCollision-5,FR_FemurCoor,Front_FemurAxis,FR_FemurJoint,revolute,-0.054,0.009,0,0,0,0,FR_HipLink,0,1,0,0,0,-0.785,0.785,,,,,,,,
FR_TibiaLink,0.0348034273391616,0,-0.101297406567852,0,0,0,0.27925717852908,0.00109125951304498,-4.74281665660228E-19,0.00041247807973686,0.00127521789331124,6.98966647343586E-19,0.00023311927940316,0,0,0,0,0,0,package://FullAssemblyCollisions/meshes/FR_TibiaLink.STL,0.76078431372549,0.4,0.180392156862745,0.3,0,0,0,0,0,0,package://FullAssemblyCollisions/meshes/FR_TibiaLink.STL,,Right_TibiaJointCollision-5,FR_TibiaCoor,Front_TibiaAxis,FR_TibiaJoint,revolute,-0.1283,-0.0745,-0.1404,0,0,0,FR_FemurLink,0,1,0,0,0,-1.571,0,,,,,,,,
FR_FootLink,0.00808442270239448,-7.17880255240999E-10,0.0114064405962385,0,0,0,0.0456321719316135,9.09013287822567E-06,-5.14601586625647E-11,1.5154823661083E-07,9.32435455625329E-06,1.79287300355975E-12,1.41628502683047E-05,0,0,0,0,0,0,package://FullAssemblyCollisions/meshes/FR_FootLink.STL,1,1,1,1,0,0,0,0,0,0,package://FullAssemblyCollisions/meshes/FR_FootLink.STL,,FootJointCollision-7,FR_FootCoor,Front_FootAxis,FR_FootJoint,fixed,0.063753,0,-0.2336,0,0,0,FR_TibiaLink,0,0,0,,,,,,,,,,,,
RL_HipLink,-0.0495780689695432,-0.0168646109812233,-3.14997337524936E-06,0,0,0,0.184246862844944,8.56666309213481E-05,-2.71433694305194E-06,3.0710784937006E-09,0.000132334131938758,-3.26143525123702E-10,0.000102345114819944,0,0,0,0,0,0,package://FullAssemblyCollisions/meshes/RL_HipLink.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://FullAssemblyCollisions/meshes/RL_HipLink.STL,,HipJointCollision-1,RL_HipCoor,Left_HipAxis,RL_HipJoint,revolute,-0.1864,0.1,0.037,0,0,0,MainBody,1,0,0,0,0,-0.175,1.571,,,,,,,,
