Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
MainBody,0.0699847914844596,-0.00356357206679569,0.0384781103388268,0,0,0,2.19167044853653,0.005553479301618,-6.540085990001E-06,7.50530470509038E-07,0.00427828043368081,-5.53252407160373E-06,0.00867140989666068,0,0,0,0,0,0,package://_FullAssemblyPyBullet/meshes/MainBody.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://_FullAssemblyPyBullet/meshes/MainBody.STL,,MainBody-1,OriginCoor,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FL_HipLink,-0.0474383151933495,-0.0147762956502852,-0.000133539761215884,0,0,0,0.0912610289974214,2.62643461992781E-05,6.64542513446049E-07,2.08491311297733E-09,4.14660535595442E-05,-1.29024359886147E-07,2.91589180391666E-05,0,0,0,0,0,0,package://_FullAssemblyPyBullet/meshes/FL_HipLink.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://_FullAssemblyPyBullet/meshes/FL_HipLink.STL,,HipJoint-2,FL_HipCoor,Left_HipAxis,FL_HipJoint,revolute,0.2808,0.1,0.037,0,0,0,MainBody,1,0,0,0,0,-0.175,1.571,,,,,,,,
FL_FemurLink,-0.019067661192873,0.0482776334868805,-0.0179044704692111,0,0,0,0.16400629425815,0.000129344985699891,-2.90363645954103E-06,-8.0603844096841E-05,0.000234982427796547,-2.84523643101322E-06,0.000125756506493398,0,0,0,0,0,0,package://_FullAssemblyPyBullet/meshes/FL_FemurLink.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://_FullAssemblyPyBullet/meshes/FL_FemurLink.STL,,FemurJoint-2,FL_FemurCoor,Front_FemurAxis,FL_FemurJoint,revolute,-0.054,-0.009,0,0,0,0,FL_HipLink,0,1,0,0,0,-0.785,0.785,,,,,,,,
FL_TibiaLink,0.0322017175929264,2.39643160090258E-05,-0.0962232443701883,0,0,0,0.109672208230116,0.000411262084214036,-9.23674401608681E-07,0.000137528054915291,0.000471917665955004,2.15761541594468E-06,6.64698615962603E-05,0,0,0,0,0,0,package://_FullAssemblyPyBullet/meshes/FL_TibiaLink.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://_FullAssemblyPyBullet/meshes/FL_TibiaLink.STL,,TibiaJoint-2,FL_TibiaCoor,Front_TibiaAxis,FL_TibiaJoint,revolute,-0.1283,0.0745,-0.1404,0,0,0,FL_FemurLink,0,1,0,0,0,-1.571,0,,,,,,,,
FL_FootLink,0.000340694607176201,1.29750897526204E-10,0.00531238344111944,0,0,0,0.0026171008368923,1.42176481764719E-07,5.41889139229988E-14,2.0650421997253E-08,3.94491238638286E-07,-1.26336440804866E-14,4.62835009996326E-07,0,0,0,0,0,0,package://_FullAssemblyPyBullet/meshes/FL_FootLink.STL,1,1,1,1,0,0,0,0,0,0,package://_FullAssemblyPyBullet/meshes/FL_FootLink.STL,,FootJoint-6,FL_FootCoor,Front_FootAxis,FL_FootJoint,fixed,0.063753,0,-0.2336,0,0,0,FL_TibiaLink,0,0,0,,,,,,,,,,,,
FR_HipLink,-0.0474384514030271,0.0147763300480575,-0.000133542163833156,0,0,0,0.0912604374264468,2.62642303167425E-05,-6.64485390732827E-07,2.08557755571092E-09,4.14659005585127E-05,1.29025236281121E-07,2.91587855341185E-05,0,0,0,0,0,0,package://_FullAssemblyPyBullet/meshes/FR_HipLink.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://_FullAssemblyPyBullet/meshes/FR_HipLink.STL,,Right_HipJoint-1,FR_HipCoor,Right_HipAxis,FR_HipJoint,revolute,0.2808,-0.1,0.037,0,0,0,MainBody,1,0,0,0,0,-1.571,0.175,,,,,,,,
FR_FemurLink,-0.0190676655356846,-0.0466135123749134,-0.0179044738259941,0,0,0,0.164006273287783,0.00012934517628055,2.9036208549203E-06,-8.06040324775779E-05,0.000234982745310931,2.84520964677916E-06,0.000125756633657412,0,0,0,0,0,0,package://_FullAssemblyPyBullet/meshes/FR_FemurLink.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://_FullAssemblyPyBullet/meshes/FR_FemurLink.STL,,Right_FemurJoint-1,FR_FemurCoor,Front_FemurAxis,FR_FemurJoint,revolute,-0.054,0.009,0,0,0,0,FR_HipLink,0,1,0,0,0,-0.785,0.785,,,,,,,,
FR_TibiaLink,0.032201696266614,-2.39145069415025E-05,-0.0962231575946988,0,0,0,0.109672400053178,0.000411263099234663,9.23702371695808E-07,0.000137528330485256,0.000471918768708998,-2.15772655059977E-06,6.64699651574826E-05,0,0,0,0,0,0,package://_FullAssemblyPyBullet/meshes/FR_TibiaLink.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://_FullAssemblyPyBullet/meshes/FR_TibiaLink.STL,,Right_TibiaJoint-1,FR_TibiaCoor,Front_TibiaAxis,FR_TibiaJoint,revolute,-0.1283,-0.0745,-0.1404,0,0,0,FR_FemurLink,0,1,0,0,0,-1.571,0,,,,,,,,
FR_FootLink,0.000340717980085559,-7.92920729075774E-11,0.00531238163967823,0,0,0,0.00261710077329796,1.42176397424818E-07,5.55077570146718E-14,2.06498502048881E-08,3.94491214620165E-07,4.55187267688304E-15,4.62835064651917E-07,0,0,0,0,0,0,package://_FullAssemblyPyBullet/meshes/FR_FootLink.STL,1,1,1,1,0,0,0,0,0,0,package://_FullAssemblyPyBullet/meshes/FR_FootLink.STL,,FootJoint-7,FR_FootCoor,Front_FootAxis,FR_FootJoint,fixed,0.063753,0,-0.2336,0,0,0,FR_TibiaLink,0,0,0,,,,,,,,,,,,
RL_HipLink,-0.047438452373836,-0.0147763312239577,-0.00013354062146792,0,0,0,0.0912604411052719,2.62642330393833E-05,6.6448509889878E-07,2.08491461643559E-09,4.14659029589153E-05,-1.29024361174821E-07,2.9158785320734E-05,0,0,0,0,0,0,package://_FullAssemblyPyBullet/meshes/RL_HipLink.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://_FullAssemblyPyBullet/meshes/RL_HipLink.STL,,HipJoint-1,RL_HipCoor,Left_HipAxis,RL_HipJoint,revolute,-0.1864,0.1,0.037,0,0,0,MainBody,1,0,0,0,0,-0.175,1.571,,,,,,,,
