Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
MainBody,0.072878582499047,-0.00026929353661051,0.0386375641254821,0,0,0,1.62403957260971,0.00425087317864028,-3.43872307352827E-07,2.81226041199486E-06,0.00391606111758808,1.19851821234013E-08,0.00728669871541611,0,0,0,0,0,0,package://FullAssemblyPyBullet/meshes/MainBody.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://FullAssemblyPyBullet/meshes/MainBody.STL,,MainBody-1,OriginCoor,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FL_Main,-0.0142129389773466,1.62894733391206E-05,0.000867107009490387,0,0,0,0.0545853538861373,2.08305063667721E-05,-1.16614215775999E-08,3.92075468314115E-23,1.37106620174681E-05,-2.2727203883899E-21,1.36884897771704E-05,0,0,0,0,0,0,package://FullAssemblyPyBullet/meshes/FL_Main.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://FullAssemblyPyBullet/meshes/FL_Main.STL,,MainBodyJoint-2,FL_MainCoor,Left_MainAxis,FL_Main,fixed,0.3098,0.1,0.037,0,0,0,MainBody,0,0,0,,,,,,,,,,,,
FL_Hip,-0.046482,-0.013937,-0.00013148,0,0,0,0.092628,2.6348E-05,1.0623E-06,2.1924E-09,4.2592E-05,-1.0475E-07,2.9112E-05,0,0,0,0,0,0,package://FullAssemblyPyBullet/meshes/FL_Hip.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://FullAssemblyPyBullet/meshes/FL_Hip.STL,,HipJoint-2,FL_HipCoor,Left_MainAxis,FL_Hip,revolute,-0.022,0,0.00086711,0,0,0,FL_Main,1,0,0,0,0,-0.175,1.57,,,,,,,,
FL_Femur,-0.0192209156804704,0.0445309182127519,-0.0180483752178875,0,0,0,0.162698622822929,0.000127956505961255,-2.78799082360857E-06,-8.05949151113297E-05,0.000233954696541122,-2.77405486023309E-06,0.000124359017081198,0,0,0,0,0,0,package://FullAssemblyPyBullet/meshes/FL_Femur.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://FullAssemblyPyBullet/meshes/FL_Femur.STL,,FemurJoint-2,FL_FemurCoor,Front_FemurAxis,FL_Femur,revolute,-0.054,-0.009,0,0,0,0,FL_Hip,0,1,0,0,0,-0.785,0.785,,,,,,,,
FL_Tibia,0.0322222803661381,2.3950333778347E-05,-0.0963070790588942,0,0,0,0.109742713288899,0.000412146616277659,-9.37703218432666E-07,0.000137719050427429,0.000472843862495806,2.22230783760562E-06,6.65211240358334E-05,0,0,0,0,0,0,package://FullAssemblyPyBullet/meshes/FL_Tibia.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://FullAssemblyPyBullet/meshes/FL_Tibia.STL,,TibiaJoint-2,FL_TibiaCoor,Front_TibiaAxis,FL_Tibia,revolute,-0.1283,0.0695,-0.1404,0,0,0,FL_Femur,0,1,0,0,0,-1.57,0,,,,,,,,
FR_Main,-0.0142129389773466,-1.62894733438113E-05,0.000867107009486667,0,0,0,0.0545853538861373,2.08305063667721E-05,1.16614215775987E-08,6.97074471618248E-22,1.37106620174681E-05,-3.82852114822138E-21,1.36884897771704E-05,0,0,0,0,0,0,package://FullAssemblyPyBullet/meshes/FR_Main.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://FullAssemblyPyBullet/meshes/FR_Main.STL,,Right_MainBodyJoint-1,FR_MainCoor,Right_MainAxis,FR_Main,fixed,0.3098,-0.1,0.037,0,0,0,MainBody,0,0,0,,,,,,,,,,,,
FR_Hip,-0.0464814846151319,0.0139368074596899,-0.00013139899879927,0,0,0,0.0926281571943994,2.63478370427054E-05,-1.06235962314716E-06,2.09491675922292E-09,4.25917798152951E-05,1.04671109592226E-07,2.91124797402975E-05,0,0,0,0,0,0,package://FullAssemblyPyBullet/meshes/FR_Hip.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://FullAssemblyPyBullet/meshes/FR_Hip.STL,,Right_HipJoint-1,FR_HipCoor,Right_MainAxis,FR_Hip,revolute,-0.022,0,0.00086711,0,0,0,FR_Main,1,0,0,0,0,-1.57,0.175,,,,,,,,
FR_Femur,-0.0192209201999718,-0.0445309199407908,-0.018048379316567,0,0,0,0.162698598408838,0.000127956696460808,2.78797473958634E-06,-8.05951042892452E-05,0.000233955012448174,2.77402832705289E-06,0.000124359143094938,0,0,0,0,0,0,package://FullAssemblyPyBullet/meshes/FR_Femur.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://FullAssemblyPyBullet/meshes/FR_Femur.STL,,Right_FemurJoint-1,FR_FemurCoor,Front_FemurAxis,FR_Femur,revolute,-0.054,0.009,0,0,0,0,FR_Hip,0,1,0,0,0,-0.785,0.785,,,,,,,,
FR_Tibia,0.0322222611125705,-2.39005330520126E-05,-0.0963069941315003,0,0,0,0.109742907140872,0.000412147652732025,9.37732808955413E-07,0.000137719346796874,0.000472844994490274,-2.22242070608849E-06,6.65212356877185E-05,0,0,0,0,0,0,package://FullAssemblyPyBullet/meshes/FR_Tibia.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://FullAssemblyPyBullet/meshes/FR_Tibia.STL,,Right_TibiaJoint-1,FR_TibiaCoor,Front_TibiaAxis,FR_Tibia,revolute,-0.1283,-0.0695,-0.1404,0,0,0,FR_Femur,0,1,0,0,0,-1.57,0,,,,,,,,
RL_Main,-0.0142129389773467,-1.62894733400781E-05,-5.55111512312578E-17,0,0,0,0.0545853538861374,2.08305063667722E-05,1.16614215776012E-08,-4.31615841781513E-22,1.37106620174681E-05,-1.43391290760765E-21,1.36884897771704E-05,0,0,0,0,0,0,package://FullAssemblyPyBullet/meshes/RL_Main.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://FullAssemblyPyBullet/meshes/RL_Main.STL,,MainBodyJoint-1,RL_MainCoor,Left_MainAxis,RL_Main,fixed,-0.1574,0.1,0.037,0,0,0,MainBody,0,0,0,,,,,,,,,,,,
RL_Hip,-0.0464815930364211,-0.0139367878529174,-0.00013153961663237,0,0,0,0.0926279267964104,2.63477414071249E-05,1.06227692183182E-06,2.19055687599929E-09,4.25916540154744E-05,-1.04787330349468E-07,2.91123437962376E-05,0,0,0,0,0,0,package://FullAssemblyPyBullet/meshes/RL_Hip.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://FullAssemblyPyBullet/meshes/RL_Hip.STL,,HipJoint-1,RL_HipCoor,Left_MainAxis,RL_Hip,revolute,-0.022,0,0,0,0,0,RL_Main,1,0,0,0,0,-0.175,1.57,,,,,,,,
RL_Femur,-0.0192209157084933,0.0445309180696282,-0.0180483751384093,0,0,0,0.162698622211317,0.000127956505837028,-2.78799083584668E-06,-8.05949147183145E-05,0.000233954695159338,-2.7740548625348E-06,0.000124359015823795,0,0,0,0,0,0,package://FullAssemblyPyBullet/meshes/RL_Femur.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://FullAssemblyPyBullet/meshes/RL_Femur.STL,,FemurJoint-1,RL_FemurCoor,Rear_FemurAxis,RL_Femur,revolute,-0.054,-0.009,0,0,0,0,RL_Hip,0,1,0,0,0,-0.785,0.785,,,,,,,,
RL_Tibia,0.032222,2.395E-05,-0.096307,0,0,0,0.10974,0.00041215,-9.377E-07,0.00013772,0.00047284,2.2223E-06,6.6521E-05,0,0,0,0,0,0,package://FullAssemblyPyBullet/meshes/RL_Tibia.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://FullAssemblyPyBullet/meshes/RL_Tibia.STL,,TibiaJoint-1,RL_TibiaCoor,Rear_TibiaAxis,RL_Tibia,revolute,-0.1283,0.0695,-0.1404,0,0,0,RL_Femur,0,1,0,0,0,-1.57,0,,,,,,,,
RR_Main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://FullAssemblyPyBullet/meshes/RR_Main.STL,1,1,1,1,0,0,0,0,0,0,package://FullAssemblyPyBullet/meshes/RR_Main.STL,,Right_MainBodyJoint-2,RR_MainCoor,Right_MainAxis,RR_Main,fixed,-0.1574,-0.099999999999999,0.0370000000000011,0,0,0,MainBody,0,0,0,,,,,,,,,,,,
RR_Hip,-0.0464814378828995,0.013936787220023,-0.000131456647172179,0,0,0,0.0926285030937888,2.63479448635204E-05,-1.06236260344054E-06,2.09302194462647E-09,4.25918877263147E-05,1.04706303472326E-07,2.91125133706958E-05,0,0,0,0,0,0,package://FullAssemblyPyBullet/meshes/RR_Hip.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://FullAssemblyPyBullet/meshes/RR_Hip.STL,,Right_HipJoint-2,RR_HipCoor,Right_MainAxis,RR_Hip,revolute,-0.022,0,0,0,0,0,RR_Main,1,0,0,0,0,-1.57,0.175,,,,,,,,
RR_Femur,-0.0192209202181283,-0.0445309198933593,-0.0180483792970791,0,0,0,0.16269859820821,0.000127956696378507,2.78797474241707E-06,-8.05951040727679E-05,0.000233955011789758,2.77402832806782E-06,0.000124359142518754,0,0,0,0,0,0,package://FullAssemblyPyBullet/meshes/RR_Femur.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://FullAssemblyPyBullet/meshes/RR_Femur.STL,,Right_FemurJoint-2,RR_FemurCoor,Rear_FemurAxis,RR_Femur,revolute,-0.054,0.009,0,0,0,0,RR_Hip,0,1,0,0,0,-0.785,0.785,,,,,,,,
RR_Tibia,0.032222261112571,-2.39005330522346E-05,-0.0963069941314975,0,0,0,0.109742907140872,0.000412147652732022,9.37732808955304E-07,0.000137719346796875,0.000472844994490267,-2.22242070608834E-06,6.65212356877155E-05,0,0,0,0,0,0,package://FullAssemblyPyBullet/meshes/RR_Tibia.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://FullAssemblyPyBullet/meshes/RR_Tibia.STL,,Right_TibiaJoint-2,RR_TibiaCoor,Rear_TibiaAxis,RR_Tibia,revolute,-0.1283,-0.0695,-0.1404,0,0,0,RR_Femur,0,1,0,0,0,-1.57,0,,,,,,,,
